[run number];awareness-frecuency;awareness-intensity;[reporter];[final];[min];[max];[mean];[total steps]
12;;;vulnerability-index;0;0;0,466666667;0,02818981;8000
12;;;expert-index;0,53;0;0,53;0,185808024;8000
12;;;attackers-jail;10;0;26;12,03024622;8000
12;;;attackers-free;30;14;40;27,96975378;8000
12;;;mean [last-payoff] of attackers;-1,4;-5,8;2,8;-1,563554556;8000
12;;;mean [aspiration-payoff] of attackers;-2,041217797;-3,406978764;0,01;-2,090383627;8000
13;1000;0,2;[step];8000;0;8000;4000;8000
13;;;mean [digital-knowledge] of citizens;71,32413269;21,49660432;71,539124;58,60141553;8000
13;;;cumulative-victims;18687;0;18687;10200,97588;8000
13;;;ema-success-rate;0,065929111;0;0,15337601;0,082788631;8000
13;;;vulnerability-index;0;0;0,453333333;0,029850435;8000
13;;;expert-index;0,596666667;0;0,62;0,226080907;8000
13;;;attackers-jail;12;0;22;11,07461567;8000
13;;;attackers-free;28;18;40;28,92538433;8000
13;;;mean [last-payoff] of attackers;-2,3;-5,3;2,7;-1,63472066;8000
13;;;mean [aspiration-payoff] of attackers;-2,361621612;-3,277085662;0,021428157;-2,128516202;8000
14;1000;0,2;[step];8000;0;8000;4000;8000
14;;;mean [digital-knowledge] of citizens;69,6036263;20,59079482;71,48953288;57,49497146;8000
14;;;cumulative-victims;18605;0;18605;10174,82277;8000
14;;;ema-success-rate;0,077811629;0;0,16279049;0,084822538;8000
14;;;vulnerability-index;0;0;0,47;0,037215765;8000
14;;;expert-index;0,503333333;0;0,583333333;0,209241761;8000
14;;;attackers-jail;11;0;28;11,71191101;8000
14;;;attackers-free;29;12;40;28,28808899;8000
14;;;mean [last-payoff] of attackers;-0,9;-5,1;3,5;-1,585364329;8000
14;;;mean [aspiration-payoff] of attackers;-2,07015084;-3,231039666;0,01;-2,09705712;8000
15;1000;0,2;[step];8000;0;8000;4000;8000
15;;;mean [digital-knowledge] of citizens;70,69959507;19,23909527;70,69959507;56,14283026;8000
15;;;cumulative-victims;18737;0;18737;10169,99088;8000
15;;;ema-success-rate;0,067404438;0;0,155838571;0,086522512;8000
15;;;vulnerability-index;0;0;0,503333333;0,037618631;8000
15;;;expert-index;0,546666667;0;0,546666667;0,176197975;8000
15;;;attackers-jail;6;0;28;12,0623672;8000
15;;;attackers-free;34;12;40;27,9376328;8000
15;;;mean [last-payoff] of attackers;-3,1;-6;3,6;-1,522172228;8000
15;;;mean [aspiration-payoff] of attackers;-2,187787722;-3,146596638;0,01;-1,996682042;8000
16;1000;0,2;[step];8000;0;8000;4000;8000
16;;;mean [digital-knowledge] of citizens;69,68248817;19,81586818;69,68248817;55,77699924;8000
16;;;cumulative-victims;18697;0;18697;10141,3882;8000
16;;;ema-success-rate;0,080598356;0;0,168033876;0,088822362;8000
16;;;vulnerability-index;0;0;0,5;0,040195809;8000
16;;;expert-index;0,503333333;0;0,503333333;0,15631921;8000
16;;;attackers-jail;7;0;27;12,55818023;8000
16;;;attackers-free;33;13;40;27,44181977;8000
16;;;mean [last-payoff] of attackers;-2,5;-4,9;5,1;-1,45064367;8000
16;;;mean [aspiration-payoff] of attackers;-2,090841938;-3,03438068;0,491499163;-1,955714643;8000
17;1000;0,2;[step];8000;0;8000;4000;8000
